"geoid","ntacode","ntaname","lat","lon"
"360470339002","BK61","Crown Heights North",40.6711345079032,-73.9406422182781
"360810922001","QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",40.576554931108,-73.8584251909133
"360810928002","QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",40.578614790692,-73.8533920282727
"360471194003","BK82","East New York",40.6712949251506,-73.8767476408627
"360470339001","BK61","Crown Heights North",40.6709834309325,-73.9378726141147
"360470353001","BK61","Crown Heights North",40.6708329817699,-73.9351018547772
"360810838002","QN55","South Ozone Park",40.6698356407139,-73.818312369853
"360470117001","BK37","Park Slope-Gowanus",40.6696711702882,-73.9925584349806
"360470357001","BK61","Crown Heights North",40.6680458950963,-73.9268409510288
"360471158003","BK85","East New York (Pennsylvania Ave)",40.6674845090674,-73.8918047986726
"360470317022","BK61","Crown Heights North",40.6703018230689,-73.9504581974365
"360810650002","QN66","Laurelton",40.6685903821947,-73.7453779761702
"360470153004","BK37","Park Slope-Gowanus",40.669276547986,-73.9812467198931
"360470139004","BK37","Park Slope-Gowanus",40.6688895136419,-73.9865825591338
"360470359003","BK61","Crown Heights North",40.6693178647217,-73.9240174620095
"360810062027","QN57","Lindenwood-Howard Beach",40.6592038850418,-73.85718494726
"360470353002","BK61","Crown Heights North",40.6690091920909,-73.9352739987995
"360471134001","BK85","East New York (Pennsylvania Ave)",40.6686733783529,-73.8996195899406
"360470974002","BK50","Canarsie",40.6458620402743,-73.8992361217273
"360811441001","QN46","Bayside-Bayside Hills",40.7581935713245,-73.7650864227983
"360811551022","QN44","Glen Oaks-Floral Park-New Hyde Park",40.7541575152449,-73.7188197918888
"360811579011","QN44","Glen Oaks-Floral Park-New Hyde Park",40.7470547285996,-73.705349624687
"360810683001","QN29","Elmhurst",40.7357986753567,-73.8704134667884
"360810711003","QN17","Forest Hills",40.7209084280689,-73.8537121013404
"360470361002","BK79","Ocean Hill",40.6687341723933,-73.9205772769631
"360810682002","QN66","Laurelton",40.6671777250053,-73.7517243196532
"360810818002","QN55","South Ozone Park",40.6681434861383,-73.8095520618129
"360470153001","BK37","Park Slope-Gowanus",40.6681381671522,-73.9788902910998
"360470153003","BK37","Park Slope-Gowanus",40.6680665071237,-73.9822563374135
"360471162003","BK82","East New York",40.6685419388506,-73.8846784311687
"360470900001","BK81","Brownsville",40.6668947634385,-73.917334799399
"360470325003","BK63","Crown Heights South",40.6655364145733,-73.9584289698195
"360470900002","BK81","Brownsville",40.6666259999669,-73.9182386923724
"360810981001","QN49","Whitestone",40.7970397369684,-73.8168011125236
"360471160003","BK82","East New York",40.6680236767254,-73.888172547598
"360470335003","BK63","Crown Heights South",40.6677491109469,-73.9451378926954
"360810654001","QN05","Rosedale",40.6630156753614,-73.735761226927
"360470153002","BK37","Park Slope-Gowanus",40.6669259278778,-73.9798971335701
"360470335001","BK63","Crown Heights South",40.6673570482214,-73.9382139267887
"360470321002","BK63","Crown Heights South",40.6672562428229,-73.9521367785121
"360470910004","BK81","Brownsville",40.6659560060789,-73.9020164032751
"360470141003","BK37","Park Slope-Gowanus",40.6664517501425,-73.9902723477257
"360471120002","BK82","East New York",40.6661899484081,-73.8801249591628
"360470910002","BK81","Brownsville",40.6656241839567,-73.9043844099214
"360470349003","BK61","Crown Heights North",40.6668976088725,-73.929908743294
"360470900005","BK81","Brownsville",40.6658417174395,-73.9209725493983
"360471124001","BK82","East New York",40.6666680594639,-73.88469032809
"360810306003","QN03","Springfield Gardens South-Brookville",40.6664068448559,-73.7751668954847
"360470912002","BK81","Brownsville",40.6651409384989,-73.9076400315314
"360471124002","BK82","East New York",40.6659401458142,-73.8872406445906
"360810306004","QN03","Springfield Gardens South-Brookville",40.6649319228048,-73.7865269581525
"360811377001","QN42","Oakland Gardens",40.7485209588161,-73.7537276819569
"360610132003","MN31","Lenox Hill-Roosevelt Island",40.7702321429084,-73.952755227384
"360470151003","BK37","Park Slope-Gowanus",40.6656615288223,-73.9842645596223
"360810846021","QN55","South Ozone Park",40.6651599695955,-73.8164566154035
"360470892004","BK81","Brownsville",40.6629711927683,-73.9196672773133
"360471126002","BK85","East New York (Pennsylvania Ave)",40.664902509295,-73.8930883851716
"360810320001","QN03","Springfield Gardens South-Brookville",40.6654762426142,-73.7631372131521
"360471126003","BK85","East New York (Pennsylvania Ave)",40.6646204676118,-73.8949839108191
"360810654002","QN05","Rosedale",40.6612621895655,-73.7404837627365
"360470323003","BK63","Crown Heights South",40.6646171933255,-73.955510457633
"360471130001","BK85","East New York (Pennsylvania Ave)",40.6650390050649,-73.8974979416977
"360470355003","BK63","Crown Heights South",40.6643733523865,-73.9357705396918
"360810306002","QN03","Springfield Gardens South-Brookville",40.6640550174377,-73.7737236317092
"360470884001","BK96","Rugby-Remsen Village",40.6642203281071,-73.9263429694647
"360470882001","BK96","Rugby-Remsen Village",40.6631388951336,-73.9283627402259
"360470898002","BK81","Brownsville",40.6620336393308,-73.9137760025895
"360470078003","BK32","Sunset Park West",40.6454862680462,-74.0132181997074
"360470337003","BK61","Crown Heights North",40.6697447978477,-73.9454077930642
"360811039004","QN49","Whitestone",40.7858301526139,-73.8221608939313
"360810583002","QN20","Ridgewood",40.7018656063488,-73.8979236537431
"360470149005","BK37","Park Slope-Gowanus",40.6629815176621,-73.9864772078804
"360470327001","BK60","Prospect Lefferts Gardens-Wingate",40.6628466703604,-73.9554506497629
"360470329001","BK60","Prospect Lefferts Gardens-Wingate",40.6634517491143,-73.9442075348081
